Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
190.42   257.75    257.75        2 128875.00 128875.00  IO.select
 95.26   386.70    128.95        2 64475.00 64475.00  Thread#join
 95.21   515.58    128.88        2 64440.00 64440.00  TCPServer#accept
 95.15   644.37    128.79      149   864.36   864.36  Kernel#sleep
  3.61   649.25      4.88    82044     0.06     0.08  Kernel#dup
  2.72   652.93      3.68    87038     0.04     0.27  BinData::Struct#instantiate_obj_at
  2.40   656.18      3.25   101191     0.03     0.10  BinData::BasePrimitive#method_missing
  2.24   659.21      3.03   126822     0.02     0.03  Kernel#define_singleton_method
  2.17   662.15      2.94   223038     0.01     0.05  BasicObject#!=
  2.13   665.03      2.88    98262     0.03     0.26  BinData::Base#new
  1.88   667.58      2.55   191250     0.01     0.07  BinData::BasePrimitive#_value
  1.88   670.12      2.54   107321     0.02     0.03  BinData::SanitizedField#name_as_sym
  1.71   672.44      2.32   101462     0.02     0.04  Kernel#clone
  1.71   674.76      2.32   266116     0.01     0.01  Fixnum#==
  1.71   677.07      2.31    74061     0.03     3.32  Array#each
  1.70   679.37      2.30    42201     0.05     0.14  BinData::Struct#define_field_accessors_for
  1.53   681.44      2.07   164020     0.01     0.07  BinData::BasePrimitive#snapshot
  1.39   683.32      1.88   166186     0.01     0.01  BinData::Base#has_parameter?
  1.39   685.20      1.88    60075     0.03     0.39  Pio::OpenFlow10::Match::Wildcards#get
  1.38   687.07      1.87    38833     0.05     0.23  BinData::BasePrimitive#assign
  1.31   688.84      1.77   319138     0.01     0.01  Kernel#respond_to?
  1.22   690.49      1.65    80765     0.02     0.21  BinData::Primitive#method_missing
  1.15   692.04      1.55    15420     0.10     0.16  BinData::BaseArgProcessor#separate_args
  1.14   693.58      1.54    38901     0.04     0.11  BinData::IO::Read#readbytes
  1.12   695.09      1.51   109888     0.01     2.19  Class#new
  1.10   696.58      1.49    68589     0.02     0.05  BinData::Struct#include_obj?
  1.06   698.01      1.43   122968     0.01     0.01  BinData::Base#get_parameter
  0.98   699.34      1.33   101462     0.01     0.02  Kernel#initialize_clone
  0.92   700.58      1.24    57123     0.02     0.32  BinData::Struct#define_field_accessors
  0.92   701.82      1.24    34452     0.04     0.24  BinData::BasePrimitive#do_write
  0.91   703.05      1.23   385332     0.00     0.00  Array#[]
  0.87   704.23      1.18     9611     0.12     0.29  Pio::Mac#initialize
  0.86   705.40      1.17    98262     0.01     0.27  BinData::SanitizedPrototype#instantiate
  0.84   706.54      1.14   390333     0.00     0.00  Kernel#nil?
  0.79   707.61      1.07    34452     0.03     0.04  BinData::IO::Write#write_raw
  0.78   708.67      1.06    37648     0.03     0.17  Kernel#format
  0.75   709.69      1.02    27738     0.04     0.45  Array#collect
  0.72   710.66      0.97    41307     0.02     0.06  BinData::IO::Read#read
  0.67   711.57      0.91    83066     0.01     0.39  BinData::Struct#instantiate_all_objs
  0.67   712.48      0.91    26843     0.03     0.15  BinData::Uint8#read_and_return_value
  0.67   713.39      0.91    19237     0.05     0.51  BinData::Struct#find_obj_for_name
  0.67   714.30      0.91    38862     0.02     3.15  BinData::Struct#do_write
  0.66   715.19      0.89    44196     0.02     2.30  BinData::Struct#do_read
  0.64   716.06      0.87    25220     0.03     0.28  BinData::Uint8#assign
  0.64   716.92      0.86    41307     0.02     0.03  BinData::IO::Read::SeekableStream#read_raw
  0.63   717.77      0.85    15420     0.06     0.72  BinData::Base#extract_args
  0.61   718.60      0.83    79742     0.01     0.07  BinData::SanitizedFields#field_names
  0.61   719.42      0.82    14908     0.06     1.17  BinData::Struct#initialize_shared_instance
  0.61   720.24      0.82    38058     0.02     0.11  BinData::BasePrimitive#respond_to?
  0.58   721.02      0.78    53393     0.01     0.02  BinData::SanitizedFields#[]
  0.58   721.80      0.78    21648     0.04     0.60  BinData::Base#eval_parameter
  0.55   722.55      0.75    53393     0.01     0.33  BinData::SanitizedField#instantiate
  0.55   723.30      0.75    36456     0.02     0.03  BinData::IO::Write#flushbits
  0.52   724.00      0.70    57123     0.01     0.09  BinData::SanitizedFields#any_field_has_parameter?
  0.52   724.70      0.70    19673     0.04     0.83  Array#each_index
  0.51   725.39      0.69    20030     0.03     0.05  BinData::Uint8#value_to_binary_string
  0.49   726.06      0.67    48130     0.01     0.02  Kernel#initialize_dup
  0.49   726.73      0.67    19237     0.03     0.05  BinData::Struct#base_field_name
  0.49   727.40      0.67    34452     0.02     0.09  BinData::IO::Write#writebytes
  0.48   728.05      0.65    22442     0.03     0.47  Pio::Type::MacAddress#get
  0.46   728.67      0.62   176474     0.00     0.00  Hash#has_parameter?
  0.46   729.29      0.62    14555     0.04     0.86  Hash#each
  0.44   729.89      0.60    15420     0.04     6.26  BinData::Base#initialize_with_warning
  0.44   730.49      0.60   177285     0.00     0.00  Hash#[]
  0.43   731.07      0.58    16040     0.04    13.56  BinData::Struct#assign_fields
  0.43   731.65      0.58     7204     0.08     0.30  IPAddr#initialize
  0.41   732.21      0.56   180096     0.00     0.00  BasicObject#==
  0.41   732.77      0.56   165383     0.00     0.00  Fixnum#>
  0.41   733.32      0.55    44869     0.01     0.23  BinData::Array#new_element
  0.41   733.87      0.55    19251     0.03     0.14  Gem::Specification#initialize
  0.41   734.42      0.55    33660     0.02     0.15  BinData::InitialLengthPlugin#elements
  0.40   734.96      0.54   127865     0.00     0.00  BasicObject#singleton_method_added
  0.39   735.49      0.53    42215     0.01     0.03  BinData::SanitizedPrototype#has_parameter?
  0.39   736.02      0.53    12010     0.04     0.10  IPAddr#_to_string
  0.38   736.53      0.51    48953     0.01     0.65  BinData::BasePrimitive#do_read
  0.38   737.04      0.51     8002     0.06     0.07  IPAddr#set
  0.37   737.54      0.50    42215     0.01     0.04  BinData::SanitizedField#has_parameter?
  0.36   738.03      0.49    20789     0.02     0.03  BinData::Base.arg_processor
  0.35   738.51      0.48    12010     0.04     0.12  IPAddr#in_addr
  0.34   738.97      0.46    34452     0.01     0.43  BinData::Array#each
  0.34   739.43      0.46     4246     0.11     0.37  BinData::DSLMixin::DSLParser#to_struct_params
  0.33   739.87      0.44    11808     0.04     0.06  BinData::DSLMixin::DSLParser#option?
  0.33   740.31      0.44     2402     0.18     0.25  Pio::Mac#parse_mac_string
  0.33   740.75      0.44    15420     0.03     6.19  BinData::Base#initialize
  0.32   741.18      0.43    93983     0.00     0.00  Kernel#is_a?
  0.32   741.61      0.43    15411     0.03     0.17  Array#any?
  0.32   742.04      0.43   108640     0.00     0.00  Fixnum#&
  0.31   742.46      0.42     8804     0.05     0.09  Pio::Mac#to_s
  0.30   742.87      0.41    15420     0.03     0.10  BinData::RegisterNamePlugin#initialize_shared_instance
  0.30   743.27      0.40    15420     0.03     0.05  BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.29   743.66      0.39    14812     0.03     0.03  BinData::Struct::Snapshot#[]=
  0.29   744.05      0.39     6242     0.06     0.12  Hash#fetch
  0.28   744.43      0.38    24828     0.02     0.41  BinData::InitialLengthPlugin#do_read
  0.28   744.81      0.38    11223     0.03     0.04  BinData::Base#furthest_ancestor
  0.27   745.18      0.37   105277     0.00     0.00  Kernel#initialize_copy
  0.27   745.55      0.37    10809     0.03     0.06  BinData::Uint16be#value_to_binary_string
  0.27   745.92      0.37   112776     0.00     0.00  Symbol#to_sym
  0.27   746.29      0.37   125379     0.00     0.00  Symbol#to_s
  0.27   746.65      0.36   108551     0.00     0.00  BasicObject#!
  0.25   746.99      0.34     5183     0.07     1.16  BinData::SanitizedParameters#sanitize!
  0.24   747.32      0.33    15420     0.02     0.63  BinData::BaseArgProcessor#extract_args
  0.24   747.65      0.33     6009     0.05     0.18  BinData::String#clamp_to_length
  0.24   747.97      0.32    14909     0.02     0.62  Enumerable#each_with_index
  0.24   748.29      0.32    81065     0.00     0.00  BinData::BasePrimitive#initialize_instance
  0.24   748.61      0.32    48098     0.01     0.01  String#unpack
  0.24   748.93      0.32    12754     0.03     0.04  BinData::SanitizedParameters#needs_sanitizing?
  0.23   749.24      0.31     9770     0.03     0.09  BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.23   749.55      0.31    43311     0.01     0.01  StringIO#read
  0.23   749.86      0.31   111674     0.00     0.00  Module#===
  0.22   750.16      0.30     7301     0.04     0.36  Array#map
  0.21   750.45      0.29    90675     0.00     0.00  Kernel#respond_to_missing?
  0.21   750.74      0.29     5078     0.06     0.15  BinData::DSLMixin::DSLParser#hide
  0.21   751.03      0.29    19224     0.02     0.36  BinData::Array#do_write
  0.21   751.32      0.29    15420     0.02     0.38  BinData::SanitizedParameters.sanitize
  0.20   751.59      0.27    67291     0.00     0.00  NilClass#nil?
  0.20   751.86      0.27      754     0.36    21.59  Kernel#require
  0.20   752.13      0.27   135025     0.00     0.00  Fixnum#<
  0.20   752.40      0.27    10884     0.02     1.10  BinData::Primitive#initialize_instance
  0.19   752.66      0.26     7232     0.04     0.32  BinData::LazyEvaluator#method_missing
  0.19   752.92      0.26    41307     0.01     0.01  BinData::IO::Read#buffer_limited_n
  0.18   753.17      0.25     5213     0.05     0.10  BinData::IO.create_string_io
  0.18   753.42      0.25     9214     0.03     0.14  BinData::Uint16be#read_and_return_value
  0.18   753.67      0.25    28824     0.01     0.63  BinData::Array#to_storage_formats
  0.18   753.92      0.25    11615     0.02     0.11  BinData::Struct#as_stringified_hash
  0.18   754.16      0.24     4800     0.05     0.26  IPAddr#==
  0.18   754.40      0.24    15367     0.02     0.02  Array#join
  0.18   754.64      0.24    11223     0.02     0.12  BinData::BasePrimitive::ValuePlugin#_value
  0.18   754.88      0.24     5605     0.04     0.79  BinData::Struct#snapshot
  0.17   755.11      0.23     7610     0.03     0.06  BinData::Base#binary_string
  0.17   755.34      0.23     4024     0.06     0.24  BinData::MultiFieldArgSeparator#parameters_is_value?
  0.16   755.56      0.22    41307     0.01     0.01  BinData::IO::Read::SeekableStream#raw_io
  0.16   755.77      0.21     6440     0.03     3.80  BinData::Primitive#read_and_return_value
  0.16   755.98      0.21     7232     0.03     0.15  BinData::LazyEvaluator#resolve_symbol_in_parent_context
  0.15   756.18      0.20     4010     0.05     0.60  Integer#times
  0.15   756.38      0.20     5213     0.04     5.22  Pio::OpenFlow10::Match#initialize
  0.14   756.57      0.19     1200     0.16     0.58  Pio::OpenFlow::Port#set
  0.14   756.76      0.19     6400     0.03     0.15  IPAddr#coerce_other
  0.14   756.95      0.19     4940     0.04    28.25  nil#
  0.13   757.13      0.18    48534     0.00     0.00  Array#length
  0.13   757.31      0.18      159     1.13    31.51  Kernel#gem_original_require
  0.13   757.49      0.18     8010     0.02     1.77  Pio::OpenFlow10::Match::MatchIpAddress#get
  0.13   757.67      0.18     6808     0.03     4.57  BinData::Primitive#do_write
  0.13   757.84      0.17     7232     0.02     0.12  BinData::LazyEvaluator#recursively_eval
  0.13   758.01      0.17     5606     0.03     0.35  Pio::IPv4Address#initialize
  0.13   758.18      0.17     6018     0.03     1.91  BinData::LazyEvaluator#lazy_eval
  0.13   758.35      0.17     5195     0.03     0.06  BinData::AcceptedParametersPlugin#mandatory_parameters
  0.13   758.52      0.17     1600     0.11     0.43  IPAddr#to_range
  0.13   758.69      0.17    53393     0.00     0.00  Array#[]=
  0.13   758.86      0.17    14914     0.01     0.60  BinData::SanitizedFields#each
  0.13   759.03      0.17     5600     0.03     0.33  BinData::Uint16be#assign
  0.12   759.19      0.16     5679     0.03     1.09  BinData::SanitizedParameters#initialize
  0.11   759.34      0.15     4000     0.04     0.49  Pio::Mac#==
  0.11   759.49      0.15     3209     0.05    14.60  BinData::Base#read
  0.11   759.64      0.15    34452     0.00     0.00  StringIO#write
  0.11   759.79      0.15    12813     0.01     0.01  Array#pack
  0.11   759.94      0.15     1600     0.09     0.12  IPAddr#<=>
  0.10   760.08      0.14    44160     0.00     0.00  Exception#backtrace
  0.10   760.22      0.14    19451     0.01     0.01  Kernel#instance_variable_set
  0.10   760.36      0.14     3203     0.04     0.04  Regexp#===
  0.10   760.49      0.13     4253     0.03     0.09  BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.10   760.62      0.13     9588     0.01     0.06  BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.10   760.75      0.13    44160     0.00     0.00  Exception#initialize
  0.10   760.88      0.13     4804     0.03     1.94  BinData::Array#assign
  0.10   761.01      0.13     4427     0.03     0.05  BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.10   761.14      0.13    32853     0.00     0.00  Integer#to_int
  0.10   761.27      0.13     4246     0.03     0.37  BinData::StructArgProcessor#sanitize_parameters!
  0.10   761.40      0.13     7232     0.02     0.28  BinData::LazyEvaluator#eval_symbol_in_parent_context
  0.10   761.53      0.13    43525     0.00     0.00  Kernel#class
  0.10   761.66      0.13    24288     0.01     0.01  Array#<<
  0.10   761.79      0.13     4246     0.03     0.09  BinData::StructArgProcessor#sanitize_endian
  0.10   761.92      0.13     4246     0.03     0.18  BinData::StructArgProcessor#sanitize_hide
  0.10   762.05      0.13     4004     0.03    13.29  BinData::Primitive#assign
  0.09   762.17      0.12     7232     0.02     0.09  Hash#each_pair
  0.09   762.29      0.12     3209     0.04     0.59  BinData::IO::Read#initialize
  0.09   762.41      0.12    40507     0.00     0.00  BinData::IO::Read#reset_read_bits
  0.09   762.53      0.12     1604     0.07     0.09  BinData::Uint32be#value_to_binary_string
  0.09   762.65      0.12     5679     0.02     0.02  BinData::SanitizedParameters#ensure_no_nil_values
  0.09   762.77      0.12    11223     0.01     0.05  BinData::Base#reading?
  0.09   762.89      0.12    73381     0.00     0.00  String#size
  0.09   763.01      0.12    31028     0.00     0.01  Hash#[]=
  0.09   763.13      0.12    23548     0.01     0.01  Array#initialize_copy
  0.09   763.25      0.12     4268     0.03     0.42  BinData::DSLMixin::DSLParser#dsl_params
  0.09   763.37      0.12     5206     0.02     0.27  BinData::String#snapshot
  0.09   763.49      0.12     1600     0.07     0.27  BinData::IO::Read#read_big_endian_bits
  0.09   763.61      0.12     9610     0.01     0.02  String#match
  0.08   763.72      0.11     2402     0.05     2.04  Pio::OpenFlow10::Match::MatchIpAddress#set
  0.08   763.83      0.11     6228     0.02     0.59  BinData::DSLMixin#method_missing
  0.08   763.94      0.11     8006     0.01     0.02  Exception.exception
  0.08   764.05      0.11     4800     0.02     0.28  Pio::IPv4Address#==
  0.08   764.16      0.11     5361     0.02     0.02  BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.08   764.27      0.11     2004     0.05    19.36  BinData::Base#write
  0.08   764.38      0.11     2408     0.05     0.32  BinData::Uint32be#assign
  0.08   764.49      0.11       12     9.17     9.17  #<BinData::Struct:0x00000002f20b50>.port=
  0.08   764.60      0.11     3313     0.03     0.03  Module#extend_object
  0.08   764.71      0.11     1602     0.07     0.13  IPAddr#mask!
  0.07   764.81      0.10    10305     0.01     0.01  BinData::DSLMixin::DSLParser#endian
  0.07   764.91      0.10     3209     0.03     0.03  Pio::Mac#validate_value_range
  0.07   765.01      0.10    40865     0.00     0.00  Fixnum#>=
  0.07   765.11      0.10    16260     0.01     0.01  BinData::DSLMixin::DSLParser#parser_abilities
  0.07   765.21      0.10     1286     0.08     0.98  Bundler::SpecSet#for
  0.07   765.31      0.10       86     1.16     5.70  Kernel#eval
  0.07   765.41      0.10     5185     0.02     0.03  BinData::AcceptedParametersPlugin#default_parameters
  0.07   765.51      0.10    13484     0.01     0.01  String#==
  0.07   765.61      0.10     7674     0.01     0.01  String#split
  0.07   765.71      0.10     1200     0.08     0.17  BinData::IO::Read#accumulate_big_endian_bits
  0.07   765.80      0.09    15603     0.01     0.01  Kernel#method
  0.07   765.89      0.09     4000     0.02     0.51  Pio::Type::IpAddress#get
  0.07   765.98      0.09    20233     0.00     0.00  String#sub
  0.07   766.07      0.09     4114     0.02     0.86  BinData::RecordArgProcessor#sanitize_parameters!
  0.07   766.16      0.09     5620     0.02     0.02  BinData::Base#safe_respond_to?
  0.07   766.25      0.09    19307     0.00     0.00  String#to_sym
  0.07   766.34      0.09     2864     0.03     0.14  BinData::SanitizedFields#has_field_name?
  0.07   766.43      0.09     2084     0.04     0.04  Array#&
  0.07   766.52      0.09    21657     0.00     0.00  Fixnum#-
  0.07   766.61      0.09     5230     0.02     0.05  BinData::SanitizedParameters#merge_default_parameters!
  0.07   766.70      0.09     2427     0.04     0.21  Range#each
  0.07   766.79      0.09     3200     0.03     0.03  BinData::IO::Read#mask
  0.07   766.88      0.09     2004     0.04    19.56  BinData::Base#to_binary_s
